// ************* TELAS *************

//FORM BASE
btnAlta												=插入
btnBaja												= 删除
btnConsulta											= 请教
btnModificacion										= 修改
btnLimpiar											= 清洁
btnBuscar											= 寻求
btnGrabar											= 节省
btnCancelar											= 取消
btnVolver											= 返回
btnAceptar											= 接受
btnDuplicar											= 复制
btnValoresPosibles									= ...
lbl_btn_calendario									= 日历
lbl_base_titulo										= 算报告
lbl_version											= 版本
lbl_salir											= 离开
lbl_formato_salida_csv								= CSV
lbl_formato_salida_pdf								= PDF
lbl_desde											= 的
lbl_hasta											= 至
lbl_btnDetalhes										= 详细信息
lbl_btnCopiar										= 复制
btnFechar											= 关闭

gen_csv_lbl_billete									= 乙
gen_csv_lbl_moneda									= 中号

gen_Cheque											= 查
gen_Ticket											= 票
gen_OtroValor										= 其他值
gen_Efectivo										= 有效

gen_selecione                                       = 选择
gen_todos											= 一切

//MENU PRINCIPAL
mn_billetaje_sucursal								= 票务分公司
mn_corte_parcial									= 半切
mn_respaldo_completo								= 全面支持
mn_detalle_parciales								= 部分细节
mn_contado_posto									= 告诉旅游
mn_recibo_f22_respaldo								= 收据F22背书
mn_relaciones_habilitacion_tira_conteo				= 启用X X地带计数的关系
mn_parte_diferencias								= 部分差异
mn_reportar_pedido_bcp								= 报告请求BCP
mn_informe_resultado_contaje						= 结果计数
mn_reportes											= 报告
mn_InformacionReportes								= Información de Reportes
mn_acreditaciones  = Acreditaciones

//ERRO PADRÃO
err_padrao_aplicacao								= 应用程序中的错误
err_codigo_erro_ambiente_default					= 执行环境中的错误
err_codigo_erro_negocio_sesion_invalida				= 无效的会议
err_codigo_erro_negocio_default						= 业务的标准误差
err_passagem_parametro								= 这些参数是不是有效的知情。
err_descricao_invalida								= 描述或无效的代码。
err_campo_obrigatorio								= 字段“{0}”是强制性的。
err_generico										= 在应用程序中有未处理的错误。请与您的系统管理员联系。
lbl_campo_nao_preenchido							= 字段“{0}”不填。
lbl_campos_obrigatorios_nao_preenchidos				= 字段“{0}”和“{1}”不填。
lbl_campo_nao_selecionado							= 字段“{0}”不被选中。
lbl_campo_invalido									= 字段“{0}”不能被告知了这一报告。
lbl_nenhum_registro_encontrado						= 没有找到记录
lbl_campo_data_invalida								= 字段“{0}”不填充具有有效日期。
lbl_campo_hora_invalida								= 字段“{0}”未填写有效时间。
lbl_campo_datahora_invalida							= 字段“{0}”是不是充斥着一个有效的日期或时间。
lbl_campo_selecion_unica							= 字段“{0}”是不是多选。
lbl_campo_periodo_invalido							= “{0}”应为大于该字段“{1}”。
lbl_campo_periodo_dias_distintos					= 字段“{0}”必须是在同一天，该字段为“{1}”。
lbl_campo_periodo_ja_informado						= 只有一个字段{0}，{1}或{2}报告期内必须完成。
lbl_campo_periodo_ja_informado_2					= 只有一个字段{0}或{1}报告期内必须完成。
err_msg_error_05									= 访问服务器上的数据库时出错：{0}
err_msg_error_02									= 错误通信与目录服务器（LDAP）。
err_msg_error_03   									= 在访问目录服务器（LDAP）错误。用户名或密码不正确。
err_msg_error_apagar_arquivo						= 无法替换文件{0}。

//INFORMACIÓN PADRAO
info_msg_sin_registro								= 没有发现记录的参数。
info_msg_baja										= 记录删除成功。
info_msg_baja_registro								= 要删除记录？
info_msg_seleccionar_registro						= 执行此操作之前选择一个记录。
info_msg_seleccionar_registro_unico					= 选择只有一条记录，然后再执行此操作。
info_msg_max_registro								= 最大记录数达到。输入任何参数搜索。
info_msg_sair_pagina								= 你确定你要离开这个页面，并失去所有输入的数据吗？
info_msg_grd_vazio									= 没有任何数据显示。
info_msg_sucesso									= 请求发送成功！
info_msg_ruta										= 報告所產生的轉向是{0}。
info_msg_grabadosucesso								= 记录保存成功！

//TIPOS EFETIVOS
lbl_billete											= 抽签
lbl_moneda											= 货币

//Tela Mensagem de Erro
aplicacao											= 算报告

//TELA DEFAULT
001_lbl_titulo										= 算报告

//RELATORIO
lbl_titulo_empresa									= PROSEGUR S / A
lbl_pagina											= 页：
lbl_de												= 的

//GRID_SUMMARY
grid_lbl_pagersummary							    = 第{0} {1}（{2}项目）
prosegurgridview_asc								= 排序升序
prosegurgridview_desc								= 降序顺序排序
gen_primeiro										= 第一
gen_anterior										= 前
gen_proximo											= 关闭
gen_ultimo											= 最后

//TELA LOGIN
002_lbl_delegacion									= 代表团
002_lbl_login										= 用户
002_lbl_senha										= 密码
002_btn_confirmar									= 登录
002_btn_cancelar									= 取消
002_titulo											= 登录计数有效的管理报告
002_msg_usuario_invalido							= 在访问目录服务器（LDAP）错误。用户名或密码不正确。
002_msg_usuario_sem_permisio						= 用户在这个系统中是不允许的。
002_msg_usuario_sessao_expirada						= 您的会话已过期。请再次登录。
